file,before_pct,after_pct,delta_pct
lib/config/support_config.dart,23.68,92.11,68.43
lib/core/app_logger.dart,42.11,94.74,52.63
lib/core/services/analytics_service.dart,3.12,100.00,96.88
lib/core/services/location_service.dart,8.82,91.18,82.36
lib/features/chat/data/services/voice_recorder_service.dart,0.00,94.83,94.83
lib/design_system/theme/app_theme.dart,0.00,100.00,100.00
lib/design_system/tokens/typography.dart,0.00,100.00,100.00
lib/design_system/tokens/colors.dart,41.94,93.55,51.61
lib/features/discovery/data/models/daily_likes_limit.dart,49.25,98.51,49.26
lib/features/social/data/models/compatibility_quiz.dart,47.85,69.94,22.09
lib/core/security/session_manager.dart,42.25,85.92,43.67
