pct,hit,found,file
12.42,41,330,lib/core/router.dart
18.42,7,38,lib/features/discovery/data/services/realtime_match_service.dart
38.10,8,21,lib/core/services/tracking_consent_service.dart
44.30,35,79,lib/core/services/crash_reporting_service.dart
51.45,195,379,lib/features/auth/data/repositories/impl/stub_auth_repository.dart
61.22,221,361,lib/features/chat/data/repositories/impl/stub_chat_repository.dart
61.39,62,101,lib/features/profile/data/services/profile_media_service.dart
63.83,60,94,lib/core/security/input_sanitizer.dart
66.43,184,277,lib/features/profile/data/repositories/impl/stub_profile_repository.dart
69.70,46,66,lib/features/discovery/data/services/daily_likes_service.dart
69.94,114,163,lib/features/social/data/models/compatibility_quiz.dart
73.37,124,169,lib/features/feature_flags/data/models/feature_flags.dart
73.68,42,57,lib/shared/utils/profile_completeness.dart
74.55,41,55,lib/data/models/user.dart
74.68,118,158,lib/core/services/content_moderation_service.dart
74.80,92,123,lib/features/social/data/models/date_idea.dart
77.19,44,57,lib/data/models/profile_reaction.dart
78.62,114,145,lib/design_system/utils/accessibility.dart
78.92,161,204,lib/core/services/push_notification_service.dart
79.11,125,158,lib/data/models/profile.dart
85.92,61,71,lib/core/security/session_manager.dart
91.18,93,102,lib/core/services/location_service.dart
92.11,35,38,lib/config/support_config.dart
93.55,29,31,lib/design_system/tokens/colors.dart
94.74,36,38,lib/core/app_logger.dart
94.83,55,58,lib/features/chat/data/services/voice_recorder_service.dart
98.51,66,67,lib/features/discovery/data/models/daily_likes_limit.dart
